speaker,university,Panel,Specific Field,talkTitle,talkDescription,speakerBio
Olga Zhaxybayeva,Dartmouth,Biology,,"Genomic clues to origin, evolution and diversity of life","My research interests are to understand how microbes change over time. Recent advances in DNA sequencing technologies brought us an avalanche of data: thousands of genomes and terabases of environmental DNA (metagenomes). I mine these data sets to assess the impact of horizontal gene transfer on microbial populations, find new ways to characterize microbial communities, and track down genomic signatures of microbial adaptations.
",TD
Helen Vuong,UCLA,Biology,Integrative Bio & Phys,"Microbiome, Brain and Behaviors","Emerging evidence suggest the microbiome interacts with host physiology including immune, metabolic, and nervous system development and function. My research aims to uncover how microbes are critically important for brain development and development of neuro-related disease phenotypes.
I'll discuss how I started in neurobiology field and was later turned on to microbiome research.","Helen Vuong earned her B.S. in neuroscience from the University of California, Los Angeles (UCLA). She continued her graduate education at UCLA, earning her Ph.D. in molecular, cellular and integrative physiology under the mentorship of Dr. Nicholas C. Brecha. During her graduate studies, Vuong investigated the anatomical and electrophysiological regulation of retinal microcircuits by neuropeptides, including somatostatin and vasoactive intestinal polypeptide. She began her postdoctoral tenure in Dr. Elaine Y. Hsiao’s lab. In her postdoctoral research, Vuong aims to elucidate the role of the maternal microbiome in fetal brain development, including modulation of neuronal connectivity, activity and function. In particular, she will focus on specific bacteria species that affect serotonin synthesis and serotonin’s role in brain development. Vuong is also interested in understanding how changes in the maternal microbiome may affect offspring social and communicative behavior. Additionally, as an IRACDA fellow in UCLA’s UPLIFT program, she hopes to continue her research and pursue her passion in education and outreach, eventually developing and implementing an introductory gut—brain axis laboratory course.
"
Krishnendu Chakrabarty,Duke ,CS,Biochips,Computational Intelligence in the Design and Optimization of Digital Microfluidic Biochips,"Digital microfluidics was transitioned to the marketplace for sample preparation by Illumina a few years
ago. Since then, this technology has also been deployed by Genmark for infectious disease testing and
Baebies for the detection of lysosomal enzymes in newborns. This lecture will describe the journey from
early laboratory research, PhD theses and publication of research articles, to technology transfer and
licensing to companies. Today’s microfluidic biochips are fully automated under program control and
they can be dynamically reconfigured using sensor data. The speaker will describe how computational
intelligence has enabled the design and optimization of such reconfigurable biochips.","Krishnendu Chakrabarty is the John Cocke Distinguished Professor and Department Chair of Electrical
and Computer Engineering (ECE), and Professor of Computer Science, at Duke University. He has held
Visiting Professor positions and Chair Professorships at University of Tokyo (Japan), University of
Bremen (Germany), Tsinghua University (China), National Tsinghua University (Taiwan) and National
Cheng-Kung University (Taiwan).
Prof. Chakrabarty is a recipient of the National Science Foundation CAREER award, the Office of Naval
Research Young Investigator award, the Humboldt Research Award from the Alexander von Humboldt
Foundation, Germany, the IEEE Computer Society Technical Achievement Award (2015), the IEEE
Circuits and Systems Society Charles A. Desoer Technical Achievement Award (2017), the
Semiconductor Research Corporation Technical Excellence Award (2018), and the Japan Society for the
Promotion of Science (JSPS) Invitational Fellowship in the “Short Term S: Nobel Prize Level” category
(2018).
Prof. Chakrabarty’s current research projects include: design-for-testability of integrated circuits and
systems (especially 3D integration and system-on-chip); microfluidic biochips; hardware security;
machine learning for eHealth; neuromorphic computing systems. He is a Fellow of ACM, IEEE, AAAS,
and a Golden Core Member of the IEEE Computer Society."
Daniel Holz,UChicago,Physics,"Astronomy, Astrophysics",Listening to the Universe,"I spend my time thinking about colliding black holes in distant galaxies at the edge of the Universe. I will give an overview of some of my research, and also discuss the path I took to becoming a professor. ","Daniel Holz is a professor at the University of Chicago in the Departments of Physics, Astronomy & Astrophysics, the Enrico Fermi Institute, and the Kavli Institute for Cosmological Physics. His research focuses on black holes and cosmology. He is a member of the Laser Interferometer Gravitational-Wave Observatory (LIGO) collaboration, and was part of the team that announced the discovery of gravitational waves from black holes in early 2016 and the detection of colliding neutron stars in 2017."
Jens Koch,,,,emailed again,,
Michael Schmitt,,,,emailed again,,
Christine Aidala,UMichigan,,,Peering Into the Proton,"Protons are at the core of every atom, forming the atomic nucleus along with their uncharged partners, neutrons.  As tiny as they are, we know that protons are composed of yet tinier subcomponents, known as quarks and gluons.  Dr. Aidala will discuss what we have learned so far about how quarks and gluons lead to the rich and complex internal workings of this basic building block of everyday matter.  
",
Marcelo Gleiser,,,,,"Marcelo Gleiser is the Appleton Professor of Natural
Philosophy and a professor of physics and astronomy at
Dartmouth College. He obtained his Ph.D. from King's
College London and received the 1994 Presidential Faculty
Fellows Award from the White House. He is a Fellow and
past General Councilor of the American Physical Society. He
is the 2019 Templeton Prize Laureate, an honor he shares
with Mother Tereza, Archbishop Desmond Tutu, the Dalai
Lama, and scientists Freeman Dyson and Martin Rees. Also
in 2019, he won the Education Leadership Award from
Educando by Worldfund Foundation.
His books have been published in 15 languages and include
The Island of Knowledge: The Limits of Science and The
Search for Meaning, A Tear at the Edge of Creation, and
The Simple Beauty of the Unexpected. A leading public
intellectual and world-renowned theoretical physicist
interested in cosmology and astrobiology, he has published
hundreds of peer-reviewed articles, and more than a
thousand essays and op-eds, and frequently participates in
TV documentaries and radio shows in the US and abroad.
He is the co-founder of the NPR blog on science and
culture,13.7. He currently directs the Institute for Cross-
Disciplinary Engagement at Dartmouth College.
More details at http://www.marcelogleiser.com","Marcelo Gleiser is the Appleton Professor of Natural
Philosophy and a professor of physics and astronomy at
Dartmouth College. He obtained his Ph.D. from King&#39;s
College London and received the 1994 Presidential Faculty
Fellows Award from the White House. He is a Fellow and
past General Councilor of the American Physical Society. He
is the 2019 Templeton Prize Laureate, an honor he shares
with Mother Tereza, Archbishop Desmond Tutu, the Dalai
Lama, and scientists Freeman Dyson and Martin Rees. Also
in 2019, he won the Education Leadership Award from
Educando by Worldfund Foundation.
His books have been published in 15 languages and include
The Island of Knowledge: The Limits of Science and The
Search for Meaning, A Tear at the Edge of Creation, and
The Simple Beauty of the Unexpected. A leading public
intellectual and world-renowned theoretical physicist
interested in cosmology and astrobiology, he has published
hundreds of peer-reviewed articles, and more than a
thousand essays and op-eds, and frequently participates in
TV documentaries and radio shows in the US and abroad.
He is the co-founder of the NPR blog on science and
culture,13.7. He currently directs the Institute for Cross-
Disciplinary Engagement at Dartmouth College.
More details at http://www.marcelogleiser.com"
Dr. Jane Frommer,CalTech (not a professor though),Chem,Nanotech,"the molecular underpinnings of nanotechnology
","Creating objects on the nanometer scale - the scale of single molecules - requires unambiguous tracking of features produced (steps performed) at each stage along the preparative pathway.  Complicating this tracking is the tendency for materials to display properties that are different on this very small scale than on larger and visible scales, a non-scaling behavior that is both intriguing and challenging.   

The evolution of instrumentation that is capable of reliably monitoring material behavior has been essential to ushering in the nanotech age.  Furthermore, the design of instruments that accurately analyze materials has been cleverly redirected toward manipulating and constructing landscapes on the nanometer scale, leading to the rapid growth in R&D of nanomanufacturing.  In this talk, the origin and evolution of molecular identification and manipulation will be traced through current day applications of nanotechnology. ","Dr. Jane Frommer received the 2020 Perkin Medal for bringing chemical awareness to
pioneering research areas in physics and engineering. She has authored over 100
articles and is co-inventor on over 50 issued patents in the fields of electronically
conducting polymers and scanning probes based on tunneling and atomic force.
The analytical methods she developed are critical in the growth of nanotechnology, vital
in the feedback loop of creating nanostructures. Dr. Frommer’s research labs bridged
the gap between academia and industry. Through fundamental research she fostered
generations of students and upheld international presence as a scientist, collaborator,
and mentor. Dr. Frommer’s research environments have included bio-organic undergraduate
research at MIT, Vitamin D research at the Mass General Hospital, organometallic
synthesis at Caltech, electronically conducting polymers at Honeywell (Allied), and
atomic force measurements in material science at IBM Research. Her chemistry
degrees are from Tufts University (BS) and Caltech (PhD)."
Anshul Kundaje,,,,Deep learning the regulatory code of the human genome,"The human genome contains the fundamental code that defines the identity and function of all the cell types and tissues in the human body. Genes are functional sequence units that encode for proteins. But they account for just about 2% of the 3 billion long human genome sequence. What does the rest of the genome encode? How is gene activity controlled in each cell type? Where do the regulatory control elements lie and what is their sequence composition? How do variants and mutations in the genome sequence affect cellular function and disease? These are fundamental questions that remain largely unanswered. The regulatory code that controls gene activity consists of DNA words with complex syntax and grammar (akin to natural language) encoded within hierarchically organized units of regulatory elements. These syntactic units of functional DNA words are sparsely distributed across billions of nucleotides of genomic sequence and remain largely elusive. Deep learning has revolutionized natural language, speech and vision applications. I will show that deep learning also has the potential to revolutionize our understanding of the regulatory language of the genome. We have developed integrative supervised deep learning frameworks to learn how genomic sequence encodes millions of experimentally measured regulatory genomic events across 100s of cell types and tissues. We have developed novel methods to interpret our models and extract local and global predictive patterns revealing many insights into the regulatory code. We will demonstrate how we can use deep learning models as oracles and perform millions of in-silico experiments to reveal the regulatory code. Our models also allow us to predict the effects of natural and disease-associated genetic variation i.e. how differences in DNA sequence across healthy and diseased individuals are likely to affect molecular mechanisms associated with complex traits and diseases.","Anshul Kundaje is an Assistant Professor of Genetics and Computer Science at Stanford University. The Kundaje lab develops statistical and machine learning methods for large-scale integrative analysis of functional genomic data to decode regulatory elements and pathways across diverse cell types and tissues and understand their role in cellular function and disease. Anshul completed his Ph.D. in Computer Science in 2008 from Columbia University. As a postdoc at Stanford University from 2008-2012 and a research scientist at MIT and the Broad Institute from 2012-2014, he led the integrative analysis efforts for two of the largest functional genomics consortia - The Encyclopedia of DNA Elements (ENCODE) and The Roadmap Epigenomics Project. Dr. Kundaje is a recipient of the 2019 Chen Award of Excellence from the Human Genome Organization, 2016 NIH Director’s New Innovator Award and The 2014 Alfred Sloan Foundation Fellowship. Anshul is also a member of the NIH Director's Advisory Committee for Artificial Intelligence in Biomedical Research."
James Robert Swartz,Stanford,Biology,Biotechnology,Microbial Protein Expression and Metabolism,"The current and projected research in the Swartz lab balances basic research in microbial metabolism, protein expression, and protein folding with a strong emphasis on compelling applications. The power and versatility of cell-free methods coupled with careful evaluation and engineering of these new systems enables a whole new range of applications and scientific investigation. Fundamental research on: the mechanisms and kinetics of ribosomal function, fundamental bioenergetics, basic mechanisms of protein folding, functional genomics, and metabolic pathway analysis is motivated by a variety of near- and medium term applications spanning medicine, energy, and environmental needs.",
Lorie Loeb,Dartmouth,CS,,,,
Dr. My T. Le ,Stanford,,,"Finding Your North Star
My journey from a refugee camp to the heart of Silicon Valley.","My T. Le is a technologist, entrepreneur, and educator. She received her Ph.D. in Electrical Engineering and Computer Sciences from University of California, Berkeley. She works, advises and invests in start-ups. She co-teaches EE15 - a popular Freshman Seminar and teaches EE46 - Engineering for Good - at Stanford University. In her spare time, she can be found telling bad jokes to her daughters and being a member of Dub Nation.",
Akshaya Annapragada,John Hopkins,,,Putting the M in STEM: Math AND Medicine,"How can students in math and engineering apply their skills to tackle tough problems in health and medicine? In this talk, I will discuss my experiences as a college student and MD/PhD student studying applied math and bioengineering. I’ll present examples from my own research of ways in which I’ve used mathematical modeling to design vaccination interventions and streamline medical diagnoses, and share my thoughts on how students can work at the intersection of math, engineering and medicine to enable social impact. ",
Dr. Jens Koch, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics, "Quantum computing" is a hot buzzword right now. Quantum computers are supposed to be great and expected to vastly outperform today's best supercomputers. But what are they really and why is it taking us so long to make one? What does it take to be a physicist? What does the daily life of a quantum physicist look like? What is it like to study physics and where do you go from there?,"t."
Allison Jia, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics,"Allison Jia is a student researcher, aspiring biomedical engineer, and recently graduated senior from The Harker School in San Jose, California. In 2019, Allison received the Intel Foundation Young Scientist Award at the International Science and Engineering Fair for her work in creating a live-imaging platform to visualize the neurodegeneration process responsible for diseases like Alzheimer's. Throughout high school, Allison served as the President of the Bay Area Society for Neuroscience and the Vice President of her school's research club. She is an avid supporter of STEM education and especially women in STEM. Allison is looking forward to continuing her studies at Stanford University in the fall.","t."
Dr. Corina Constantinescu, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics,"We will be taking a journey through some recent topics in actuarial mathematics, all trying to address societal questions: how one should price women drivers in Saudi Arabia, how prevalent is the broken-heart syndrome in African countries and what is the effect of earthquakes on the mortgage market in Japan.", "." 
High School Level Biology Competition, ., ., ., ., The Biology High School Competition will focus on topics covered in AP Biology and USA Biology Olympiad — specifically the components and cellular processes in cells; the molecular and chromosomal basis of inheritance; gene expression; viruses and bacteria; and Darwinian mechanisms of evolution. The more difficult questions will be comparative to those on the USA Biology Olympiad while the easier level questions will be similar to AP Biology test questions., .
High School Level Math Competition, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics,"The Competition Math High School Competition will test mathematical problem solving with arithmetic, algebra, counting, geometry, number theory, and probability, and other high school math topics. The more difficult questions will be comparative to those on the AMC 10/12 Competitions.", "." 
High School Level Physics Competition, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics,"The Physics High School Competition will focus on topics covered in AP Physics 1 and the F=ma, specifically kinematics, dynamics, energy, momentum, gravity, oscillations, uncertainties, and dimensional analysis. A few questions will require the use of a calculator and an equation sheet will be provided. The difficulty of problems will range from easy Physics 1 problems to more challenging and conceptual F=ma exam questions.", "." 
High School Level Chemistry Competition, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics,"The Chemistry High School Competition will focus on topics covered in AP Chemistry and the USA Chemistry Olympiad, specifically periodic trends, stoichiometry, acids and bases, ideal gas law, and chemical equilibrium. The questions will come in a range of difficulty and a few will require a calculator (periodic table and equation sheet will be provided). ", "." 
Vasile Patrascu, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics,"A 'hands-on'principal software engineer with a 'can do' attitude that delivers high-quality projects on time. My objective is to have significant impact in a role that leverages my extensive experience in product definition, architecture, design and development.", "." 
Computer Science's Role in Bee Research, sdsdf, CS,Systems and Networking,Probabilistic Combinatorics,"Bees are important pollinators that support our agricultural and natural ecosystems. Beekeepers rely on honey bees for pollination services and products of the hive. There are over 20,000 species of bees worldwide and most bee species do not live in hives, make honey or sting to defend their nest. Unfortunately, some species of bees are declining due to habitat loss, parasites, pathogens and other challenges to their survival. Computer science has provided bee research with a variety of tools to help bee conservation. I will share background information about bees and spotlight conservation projects that are utilizing computer science to support research in a variety of ways from bee identification to hive health monitoring programs. ", "." 
Biochemistry Demonstration,sdf,CS,S,P,"In the frame of a home experiment we will discuss the relationship between form, function and protein structure.",
